hub_state,hub_city,city,state,latitude,longitude,distance_miles,delivery_count
GA,Pendergrass,Jasper,GA,34.471,-84.4497,48.62,0
GA,Pendergrass,Jefferson,GA,34.1373,-83.6021,4.98,13
GA,Pendergrass,Lavonia,GA,34.4341,-83.1079,37.72,19
GA,Pendergrass,Lawrenceville,GA,33.9523,-83.9932,23.04,23
GA,Pendergrass,Lilburn,GA,33.8897,-84.1364,32.18,4
GA,Pendergrass,Lithonia,GA,33.7129,-84.106,39.53,23
GA,Pendergrass,Lula,GA,34.3955,-83.6659,15.98,6
GA,Pendergrass,Madison,GA,33.5793,-83.4758,42.15,2
GA,Pendergrass,Martin,GA,34.4856,-83.1985,35.43,0
GA,Pendergrass,Maysville,GA,34.2555,-83.5521,9.75,2
GA,Pendergrass,Monroe,GA,33.799,-83.7161,25.33,19
GA,Pendergrass,Mount Airy,GA,34.5221,-83.4976,26.86,0
GA,Pendergrass,Norcross,GA,33.9379,-84.2065,33.83,54
GA,Pendergrass,Oakwood,GA,34.2236,-83.8851,12.26,9
GA,Pendergrass,Peachtree Corners,GA,33.967,-84.232,34.28,1
GA,Pendergrass,Pendergrass,GA,34.1646,-83.6827,0.0,278
GA,Pendergrass,Royston,GA,34.2861,-83.1106,33.74,3
GA,Pendergrass,Social Circle,GA,33.6505,-83.7116,35.56,19
GA,Pendergrass,Stone Mountain,GA,33.8035,-84.1723,37.54,11
GA,Pendergrass,Stonecrest,GA,33.6842,-84.1372,42.2,3
GA,Pendergrass,Sugar Hill,GA,34.108,-84.0558,21.69,0
GA,Pendergrass,Suwanee,GA,34.0508,-84.0686,23.44,20
GA,Pendergrass,Talmo,GA,34.1831,-83.721,2.54,0
GA,Pendergrass,Tiger,GA,34.8458,-83.433,49.17,0
GA,Pendergrass,Toccoa,GA,34.581,-83.3263,35.23,4
GA,Pendergrass,Tucker,GA,33.8436,-84.2024,37.12,11
GA,Pendergrass,Watkinsville,GA,33.861,-83.4072,26.25,0
