city,state,pickup_count,delivery_count,latitude,longitude
Alburtis,PA,146,85,40.509,-75.6001
Alcoa,TN,6,63,35.8076,-83.9753
Alcolu,SC,17,1,33.7547,-80.2221
Aldie,VA,0,2,38.9761,-77.645
Alexander,AR,0,1,34.6185,-92.4512
Alexandria,IN,83,1,40.263,-85.6737
Alexandria,LA,1,1,31.2923,-92.4702
Alexandria,MN,1,1,45.8776,-95.3767
Alexandria,PA,0,3,40.5583,-78.0997
Alexandria,TN,0,1,36.0791,-86.0382
Alexandria,VA,4,45,38.8185,-77.0861
Alger,OH,0,1,40.7096,-83.8441
Algonac,MI,0,1,42.6207,-82.5339
Algonquin,IL,0,1,42.1629,-88.3159
Aliceville,AL,1,0,33.1237,-88.1593
Aliquippa,PA,13,18,40.6155,-80.2547
Allegan,MI,4,0,42.5299,-85.8462
Allen Park,MI,2,2,42.2595,-83.2107
Allendale,MI,2,1,42.9845,-85.9499
Allendale,NJ,5,2,41.0332,-74.1333
Allendale,SC,6,2,33.008,-81.3092
Allensville,PA,1,1,40.533,-77.8142
Allenton,WI,1,0,43.4218,-88.3448
Allentown,NJ,0,1,40.1778,-74.5873
Allentown,PA,253,164,40.5961,-75.4756
Allenwood,PA,1,2,41.1081,-76.8981
Alliance,NC,0,1,35.1434,-76.8084
Alliance,OH,11,9,40.9107,-81.1189
Alma,GA,1,5,31.5432,-82.4745
Alpena,MI,2,2,45.074,-83.4402
Alpharetta,GA,8,15,34.0704,-84.2738
Alsip,IL,11,15,41.6701,-87.7368
Altamahaw,NC,6,1,36.1868,-79.5051
Altamont,NY,2,8,42.7056,-74.034
Altavista,VA,1,16,37.1235,-79.2856
Altha,FL,0,2,30.5721,-85.1263
Alto,GA,2,0,34.4649,-83.5727
Alton,IL,2,1,38.9037,-90.152
Altoona,IA,4,1,41.6483,-93.4783
Altoona,PA,43,26,40.5082,-78.4007
Altoona,WI,0,1,44.8029,-91.4385
Altus,OK,0,1,34.6565,-99.3061
Alvarado,TX,2,0,32.4068,-97.2149
Amarillo,TX,1,0,35.1984,-101.8316
Ambler,PA,0,1,40.1564,-75.2215
Ambridge,PA,12,13,40.5921,-80.2265
Amelia Court House,VA,2,1,37.3367,-77.9882
Americus,GA,4,2,32.0736,-84.2248
Ames,IA,7,0,42.0256,-93.6217
Amherst,OH,4,2,41.4022,-82.2303
Amherst,VA,0,2,37.5816,-79.0509
Amityville,NY,0,2,40.6696,-73.4156
Amory,MS,0,1,33.9814,-88.4823
Amsterdam,NY,10,77,42.942,-74.1906
Amsterdam,OH,0,6,40.4718,-80.9217
Anacoco,LA,0,1,31.2545,-93.344
Anamosa,IA,0,1,42.1091,-91.2758
Andalusia,AL,2,2,31.3102,-86.4781
Andalusia,PA,0,2,40.0696,-74.9713
Anderson,IN,11,16,40.0891,-85.6892
Anderson,MO,1,0,36.6532,-94.4441
Anderson,SC,166,296,34.5211,-82.6478
Andersonville,GA,14,2,32.1965,-84.1454
Andersonville,TN,0,3,36.197,-84.033
Andover,KS,0,1,37.6873,-97.1352
Andover,OH,0,2,41.6066,-80.5686
Andrews,NC,0,21,35.1994,-83.8262
Andrews,SC,10,12,33.4494,-79.566
Angier,NC,2,4,35.5116,-78.7402
Angola,IN,8,1,41.6433,-85.005
Angola,NY,4,5,42.6379,-79.0295
Ankeny,IA,4,3,41.7288,-93.6031
Ann Arbor,MI,1,10,42.2759,-83.731
Anna,OH,0,1,40.3957,-84.1754
Annapolis,MD,1,15,38.9706,-76.5047
Anniston,AL,9,5,33.6712,-85.8135
Anniston,MO,1,0,36.8243,-89.3267
Anoka,MN,1,0,45.2099,-93.3893
Ansonia,CT,0,6,41.3443,-73.0689
Ansonia,OH,0,1,40.2141,-84.6344
Ansonville,NC,2,0,35.1041,-80.1097
Antigo,WI,1,0,45.141,-89.1552
Antioch,IL,3,0,42.4742,-88.0721
Apalachin,NY,3,0,42.0639,-76.1567
Apex,NC,8,64,35.7237,-78.8743
Apollo,PA,0,1,40.5848,-79.5647
Apollo Beach,FL,0,1,27.7618,-82.4003
Apopka,FL,2,1,28.7015,-81.5316
Apple Creek,OH,4,8,40.7486,-81.8333
Apple Grove,WV,14,7,38.6663,-82.1706
Appleton,WI,13,7,44.278,-88.3892
Appling,GA,4,4,33.5588,-82.3183
Appomattox,VA,0,2,37.3592,-78.8276
Arab,AL,1,2,34.3309,-86.4991
Arabi,LA,4,0,29.9562,-89.9986
Arbutus,MD,8,0,39.2428,-76.6922
Arcadia,FL,2,4,27.2215,-81.8585
Arcadia,SC,1,0,34.9609,-81.9929
Arcadia,WI,0,3,44.2486,-91.4916
Arcanum,OH,0,1,39.9923,-84.5543
Archbald,PA,10,6,41.5077,-75.5453
Archbold,OH,13,4,41.5166,-84.3039
Archdale,NC,11,11,35.9032,-79.9591
Archie,MO,1,0,38.4809,-94.351
Arcola,IL,5,0,39.6833,-88.3013
Arden Hills,MN,1,0,45.0721,-93.167
Ardmore,OK,1,1,34.1949,-97.1256
Ardmore,TN,0,1,35.0031,-86.8548
Ardsley,NY,0,1,41.0134,-73.8394
Argos,IN,0,12,41.2379,-86.2523
Arlington,GA,1,0,31.4383,-84.7253
Arlington,IN,0,1,39.6458,-85.5797
Arlington,NY,0,1,41.6965,-73.8989
Arlington,OH,0,1,40.8937,-83.6529
Arlington,TN,4,4,35.2594,-89.668
Arlington,TX,2,2,32.6998,-97.125
Arlington,VA,0,3,38.8786,-77.1011
Armonk,NY,1,3,41.1319,-73.7138
Armorel,AR,2,0,35.9223,-89.8009
Arnaudville,LA,0,1,30.4023,-91.932
Arnold,MD,0,1,39.0437,-76.4974
Arnold,MO,2,1,38.4297,-90.3733
Arnold,PA,0,1,40.5788,-79.7655
Arrington,VA,1,0,37.6744,-78.8928
Arthur,IL,0,2,39.7144,-88.4696
Asbury,NJ,1,15,40.7003,-75.0121
Asbury Park,NJ,0,5,40.2226,-74.0119
Ashaway,RI,4,0,41.426,-71.7852
Ashburn,GA,2,1,31.7096,-83.6528
Ashburn,VA,6,15,39.0277,-77.4714
Asheboro,NC,326,203,35.7158,-79.8127
Asheville,NC,25,64,35.5707,-82.5537
Ashland,AL,0,1,33.2703,-85.8337
Ashland,KY,45,5,38.4592,-82.6448
Ashland,OH,19,7,40.8668,-82.3156
Ashland,VA,59,131,37.7597,-77.4716
Ashland City,TN,3,2,36.2607,-87.0412
Ashley,IN,32,10,41.5215,-85.0614
Ashley,PA,18,10,41.2128,-75.8993
Ashtabula,OH,51,9,41.8805,-80.7984
Ashton,IL,4,0,41.8682,-89.2225
Ashville,OH,30,28,39.7238,-82.9575
Ashville,PA,1,0,40.5601,-78.5473
Aspers,PA,72,9,39.9792,-77.2276
Atchison,KS,1,0,39.5625,-95.1367
Atglen,PA,3,1,39.9473,-75.9754
Athens,AL,12,14,34.7843,-86.9503
Athens,GA,38,11,33.9508,-83.3689
Athens,OH,1,8,39.327,-82.0987
Athens,PA,2,2,41.9515,-76.5187
Athens,TN,20,16,35.4573,-84.6045
Atkins,VA,4,6,36.8659,-81.4045
Atlanta,GA,178,206,33.7628,-84.422
Atlanta,MI,0,1,45.0012,-84.1513
Atlantic,PA,1,0,41.5054,-80.3408
Atlantic Beach,NC,1,0,34.7011,-76.7403
Atlantic City,NJ,1,5,39.3797,-74.4527
Attalla,AL,5,1,34.005,-86.1039
Attapulgus,GA,0,1,30.7495,-84.4839
Attica,IN,1,2,40.2874,-87.2452
Attica,OH,0,2,41.0634,-82.8873
Attleboro,MA,26,2,41.9311,-71.295
Atwater,MN,0,1,45.1356,-94.7769
Auburn,AL,2,6,32.6087,-85.4903
Auburn,GA,1,0,34.0156,-83.8319
Auburn,IN,10,15,41.3666,-85.0559
Auburn,KY,1,2,36.8654,-86.711
Auburn,ME,8,2,44.0851,-70.2492
Auburn,NY,41,11,42.9338,-76.5685
Auburn Hills,MI,4,2,42.6735,-83.2448
Auburndale,FL,3,7,28.0963,-81.8012
Audubon,PA,0,3,40.1304,-75.428
Augusta,AR,1,0,35.2865,-91.3614
Augusta,GA,90,116,33.3645,-82.0708
Augusta,KY,4,1,38.7723,-84.0003
Augusta,ME,0,9,44.3341,-69.7319
Augusta,WI,2,0,44.6784,-91.1204
Aurora,CO,1,2,39.7083,-104.7237
Aurora,IL,5,4,41.7638,-88.2902
Aurora,IN,1,0,39.0674,-84.9044
Aurora,MO,1,0,36.9673,-93.7184
Aurora,NC,0,1,35.303,-76.7889
Aurora,OH,20,27,41.3118,-81.345
Austell,GA,16,18,33.8201,-84.6451
Austin,IN,37,9,38.7417,-85.8117
Austin,MN,1,0,43.6721,-92.9784
Austin,TX,0,1,30.3005,-97.7522
Austinburg,OH,0,7,41.7692,-80.8556
Austintown,OH,1,11,41.0932,-80.7405
Austinville,VA,6,0,36.851,-80.9142
Autryville,NC,15,1,34.9965,-78.6412
Ava,MO,0,1,36.9547,-92.6662
Avenel,NJ,45,26,40.5842,-74.2716
Avilla,IN,4,4,41.3637,-85.2317
Avon,IN,3,18,39.7601,-86.3916
Avon,MN,1,0,45.61,-94.4618
Avon,OH,4,17,41.4485,-82.0187
Avon Lake,OH,3,2,41.4944,-82.0159
Avondale,AZ,1,0,33.3873,-112.3235
Avondale,LA,1,0,29.9072,-90.1933
Avondale,PA,0,9,39.8248,-75.7819
Awendaw,SC,0,1,32.9661,-79.6586
Axis,AL,2,0,30.9309,-88.018
Ayden,NC,16,11,35.4693,-77.4167
Aynor,SC,0,2,34.0002,-79.2071
BARRE,VT,1,10,44.1998,-72.5085
Baconton,GA,0,1,31.3804,-84.1592
Badin,NC,1,0,35.4071,-80.1184
Bailey,NC,0,2,35.7805,-78.113
Baileys Harbor,WI,0,1,45.0659,-87.133
Bainbridge,GA,6,9,30.9052,-84.5732
Balch Springs,TX,1,1,32.7194,-96.6151
Baldwin,IL,0,4,38.1838,-89.8451
Baldwinsville,NY,141,45,43.1578,-76.3325
Ball Ground,GA,4,8,34.3426,-84.3637
Ballinger,TX,1,1,31.7394,-99.9559
Ballston Spa,NY,4,4,43.0068,-73.8525
Ballwin,MO,0,1,38.595,-90.55
Bally,PA,2,1,40.4004,-75.5875
Baltic,OH,1,4,40.4435,-81.701
Baltimore,MD,952,341,39.3051,-76.6144
Baltimore,OH,21,1,39.846,-82.6046
Bangor,ME,7,20,44.8323,-68.7906
Bangor,PA,1,2,40.8678,-75.2085
Banner Elk,NC,0,1,36.1589,-81.8677
Baraboo,WI,1,0,43.4695,-89.7376
Barberton,OH,5,7,41.0095,-81.6037
Barboursville,WV,0,2,38.4067,-82.2964
Barclay,MD,0,5,39.1451,-75.8655
Bardstown,KY,86,35,37.8175,-85.455
Barnesville,GA,3,0,33.0508,-84.1528
Barnesville,OH,0,1,39.9888,-81.1728
Barnhart,MO,0,1,38.336,-90.4046
Barnwell,SC,30,4,33.2419,-81.3659
Barrington,NJ,49,9,39.8689,-75.0514
Bartlett,IL,3,1,41.9804,-88.2071
Bartlett,TN,1,1,35.2337,-89.8195
Bartonville,IL,1,1,40.6397,-89.6607
Bartow,FL,3,2,27.8868,-81.8214
Bartow,WV,1,0,38.5422,-79.7859
Bassett,VA,0,2,36.7615,-79.9866
Bastian,VA,4,4,37.1535,-81.1525
Batavia,IL,1,1,41.8479,-88.3109
Batavia,NY,23,51,42.9987,-78.1802
Batavia,OH,12,7,39.0815,-84.1716
Bates City,MO,2,1,39.0047,-94.0659
Batesburg-Leesville,SC,0,1,33.9126,-81.5313
Batesville,AR,2,3,35.7687,-91.6227
Batesville,IN,2,2,39.2974,-85.2144
Batesville,MS,0,1,34.3148,-89.9249
Bath,ME,0,1,43.9346,-69.8346
Bath,NC,0,1,35.4702,-76.8119
Bath,PA,1,2,40.7279,-75.3919
Baton Rouge,LA,5,15,30.442,-91.1311
Battle Creek,MI,9,7,42.2985,-85.2296
Baxley,GA,1,2,31.7641,-82.3509
Baxter,TN,14,3,36.1536,-85.6348
Bay City,MI,15,18,43.5902,-83.8887
Bay Minette,AL,0,4,30.893,-87.7912
Bay Shore,NY,1,1,40.7288,-73.2495
Bay Springs,MS,1,4,31.9772,-89.2792
Bay St. Louis,MS,0,1,30.3281,-89.3774
Bayonne,NJ,26,11,40.6668,-74.1158
Baytown,TX,3,1,29.7587,-94.9671
Beach City,OH,0,1,40.6531,-81.5795
Beachwood,OH,0,2,41.4759,-81.503
Beacon,NY,8,1,41.5036,-73.9655
Bean Station,TN,4,1,36.3323,-83.2852
Bear,DE,2,20,39.6189,-75.6808
Bear Lake,MI,1,0,44.7182,-84.9486
Beaufort,NC,3,2,34.73,-76.6493
Beaufort,SC,8,3,32.4597,-80.7235
Beaumont,MS,0,1,31.1707,-88.9252
Beaumont,TX,1,0,30.0849,-94.1451
Beaver,PA,0,2,40.6936,-80.3074
Beaver,WV,4,14,37.7356,-81.15
Beaver Dam,KY,8,4,37.4042,-86.8741
Beaver Dam,WI,2,3,43.4688,-88.8309
Beaver Falls,PA,0,4,40.7619,-80.3226
Beaver Springs,PA,8,3,40.7448,-77.2168
Beavercreek,OH,1,2,39.731,-84.0624
Beavertown,PA,0,1,40.7522,-77.169
Becker,MN,0,1,45.3824,-93.8772
Beckett Ridge,OH,1,0,39.3448,-84.438
Beckley,WV,10,13,37.7877,-81.1841
Bedford,IN,1,0,38.8602,-86.4895
Bedford,OH,19,15,41.3919,-81.536
Bedford,VA,3,7,37.336,-79.5179
Bedford Heights,OH,16,62,41.4041,-81.5053
Bedford Park,IL,8,5,41.7669,-87.7915
Beech Bottom,WV,6,1,40.2181,-80.6588
Beech Island,SC,22,40,33.4288,-81.8905
Beech Mountain,NC,0,1,36.2104,-81.8875
Bel Air,MD,0,1,39.5348,-76.346
Belding,MI,0,1,43.0968,-85.2331
Belfast,ME,0,1,44.4279,-69.0325
Belgium,WI,1,0,43.5018,-87.8476
Belington,WV,2,0,39.0219,-79.9383
Belk,AL,1,0,33.6517,-87.9286
Belle Glade,FL,1,1,26.6916,-80.6656
Belle Plaine,IA,1,0,41.8954,-92.2751
Belle Vernon,PA,20,3,40.1256,-79.8671
Bellefontaine,OH,1,3,40.3627,-83.763
Bellefonte,PA,20,1,40.9141,-77.7683
Belleville,IL,0,2,38.5164,-89.99
Belleville,MI,3,8,42.2022,-83.4839
Belleville,PA,10,6,40.6059,-77.7211
Bellevue,OH,4,3,41.2745,-82.8403
Bellmawr,NJ,13,11,39.8666,-75.0941
Bellport,NY,0,2,40.754,-72.9422
Bells,TN,1,0,35.7203,-89.0859
Bellville,OH,0,1,40.6297,-82.5244
Bellwood,IL,3,0,41.8829,-87.8762
Bellwood,PA,0,1,40.6007,-78.3334
Belmont,MS,2,0,34.5046,-88.208
Belmont,NC,81,55,35.2212,-81.0401
Beloit,WI,3,2,42.523,-89.0184
Belpre,OH,4,2,39.2815,-81.5972
Belton,MO,0,2,38.8192,-94.5335
Belton,SC,4,3,34.5237,-82.4938
Belton,TX,1,0,31.0525,-97.479
Beltsville,MD,1,20,39.0394,-76.9211
Belvidere,IL,3,1,42.2543,-88.8649
Bemidji,MN,3,0,47.4828,-94.8797
Bennettsville,SC,300,15,34.6303,-79.6875
Bensenville,IL,6,5,41.9579,-87.9442
Benson,NC,36,22,35.386,-78.5437
Benton,AR,1,0,34.5776,-92.5713
Benton,IL,1,0,38.0109,-88.9179
Benton,KY,4,0,36.8479,-88.3602
Benton,LA,0,1,32.6907,-93.7401
Benton,MO,0,1,37.099,-89.5624
Benton,PA,4,0,41.1955,-76.3847
Benton,TN,29,3,35.1749,-84.6516
Bentonville,AR,0,1,36.3547,-94.2305
Benwood,WV,29,0,40.0139,-80.7328
Berea,KY,24,39,37.5904,-84.2898
Berea,OH,3,1,41.3696,-81.8641
Beresford,SD,1,0,43.0797,-96.7803
Bergenfield,NJ,0,1,40.9236,-73.9982
Berkeley,IL,1,0,41.8891,-87.9115
Berlin,MD,7,1,38.331,-75.2148
Berlin,NH,0,6,44.4869,-71.2599
Berlin,NJ,261,64,39.7915,-74.9374
Berlin Heights,OH,1,0,41.3204,-82.4903
Berne,IN,0,7,40.6572,-84.9555
Bernville,PA,19,4,40.4334,-76.1107
Berryville,AR,0,2,36.371,-93.5704
Berryville,VA,7,2,39.1504,-77.9825
Berwick,PA,13,37,41.0555,-76.2492
Bessemer,AL,4,11,33.3712,-86.9728
Bessemer City,NC,12,15,35.284,-81.2828
Bessie,OK,1,0,35.3854,-98.9892
Bethany,MO,0,1,40.2684,-94.0282
Bethany Beach,DE,1,0,38.5391,-75.066
Bethel,DE,1,0,38.5711,-75.6195
Bethel,ME,1,0,44.4038,-70.7863
Bethel,NC,4,5,35.8072,-77.3763
Bethel Park,PA,2,3,40.3238,-80.0364
Bethesda,MD,0,1,38.9866,-77.1188
Bethesda,OH,0,2,40.0164,-81.0727
Bethlehem,GA,1,0,33.9368,-83.7102
Bethlehem,PA,119,151,40.6266,-75.3679
Bethpage,NY,1,0,40.7495,-73.4856
Bethune,SC,16,2,34.4143,-80.3487
Bettendorf,IA,1,0,41.5657,-90.4765
Beulaville,NC,2,0,34.9228,-77.7724
Beverly,KS,0,1,39.0138,-97.9755
Beverly,NJ,3,4,40.0652,-74.9221
Beverly,WV,9,0,38.8443,-79.8717
Bicknell,IN,0,3,38.7743,-87.3078
Bidwell,OH,1,1,38.9248,-82.2856
Big Creek,WV,0,1,38.0054,-82.0361
Big Island,VA,17,12,37.5351,-79.3615
Big Lake,MN,0,1,45.3417,-93.7434
Big Rapids,MI,4,1,43.6992,-85.4806
Big Rock,VA,0,1,37.3536,-82.1887
Big Stone Gap,VA,0,1,36.8626,-82.7769
Biglerville,PA,3,16,39.9303,-77.2462
Billings,MT,0,1,45.7891,-108.5526
Biloxi,MS,0,3,30.4426,-88.9514
Binghamton,NY,31,12,42.1014,-75.9093
Birch Tree,MO,1,0,36.9967,-91.4916
Birdsboro,PA,15,5,40.2619,-75.8099
Birmingham,AL,31,38,33.5279,-86.7971
Biscoe,NC,9,9,35.3585,-79.7816
Bishopville,SC,184,64,34.2202,-80.2483
Black Creek,WI,0,1,44.4742,-88.4506
Black Mountain,NC,2,139,35.6144,-82.3274
Blacksburg,SC,48,2,35.122,-81.5182
Blacksburg,VA,4,13,37.23,-80.4279
Blackshear,GA,4,10,31.2954,-82.2453
Blackstone,VA,0,1,37.0822,-78.003
Blackville,SC,3,20,33.3552,-81.2835
Blackwood,NJ,0,3,39.7982,-75.0629
Bladenboro,NC,4,2,34.5407,-78.795
Bladensburg,MD,0,3,38.9424,-76.9264
Blades,DE,1,1,38.6353,-75.6024
Blaine,MN,1,1,45.1696,-93.2077
Blaine,TN,0,1,36.1478,-83.6939
Blairs,VA,3,1,36.6958,-79.3774
Blairsville,GA,1,2,34.876,-83.9546
Blairsville,PA,5,2,40.4326,-79.2599
Blakely,GA,3,0,31.3827,-84.9228
Blanchester,OH,0,5,39.2934,-83.9795
Bland,VA,25,6,37.1,-81.1161
Blandon,PA,15,3,40.4447,-75.8799
Blasdell,NY,7,6,42.7964,-78.8324
Blauvelt,NY,4,1,41.0689,-73.9545
Blawnox,PA,14,3,40.4922,-79.86
Bloomfield,KY,9,0,37.9122,-85.314
Bloomfield,MO,14,0,36.8875,-89.9306
Bloomfield,NY,1,0,42.8991,-77.4242
Bloomingdale,GA,9,52,32.1249,-81.3077
Bloomingdale,IL,1,1,41.9497,-88.0895
Bloomingdale,IN,1,0,39.8306,-87.2502
Bloomingdale,MI,0,1,42.3833,-85.959
Bloomington,IL,0,6,40.4757,-88.9703
Bloomington,IN,5,8,39.1637,-86.5257
Bloomington,MN,0,5,44.8306,-93.3151
Bloomsburg,PA,34,28,41.0027,-76.4561
Bloomsbury,NJ,0,1,40.6537,-75.084
Blossburg,PA,1,0,41.6795,-77.069
Blountville,TN,0,3,36.533,-82.329
Blue Ash,OH,6,4,39.248,-84.3827
Blue Earth,MN,1,0,43.6409,-94.1005
Blue Island,IL,0,1,41.6578,-87.6811
Blue Mountain,MS,2,0,34.6739,-89.0262
Blue Ridge,GA,6,0,34.8666,-84.3218
Blue Springs,MO,2,0,39.0124,-94.2721
Blue Springs,MS,0,1,34.3922,-88.8779
Bluefield,VA,22,7,37.2351,-81.2751
Bluefield,WV,3,2,37.2608,-81.2143
Bluff City,TN,0,1,36.4589,-82.2768
Bluffton,IN,23,22,40.7424,-85.173
Bluffton,SC,0,5,32.2135,-80.9316
Blytheville,AR,30,3,35.9321,-89.9051
Blythewood,SC,100,91,34.2121,-80.9921
Boaz,AL,8,1,34.1985,-86.1529
Boca Raton,FL,2,1,26.3752,-80.108
Bogalusa,LA,1,0,30.7812,-89.8633
Bogart,GA,0,1,33.9479,-83.5341
Bogota,NJ,1,2,40.8751,-74.0293
Bohemia,NY,2,3,40.7717,-73.1271
Boiling Springs,SC,0,3,35.045,-81.9779
Boise,ID,0,1,43.6005,-116.2308
Bolingbrook,IL,25,8,41.6901,-88.1021
Bolivar,MO,1,0,37.6059,-93.4175
Bolivar,OH,1,0,40.6539,-81.455
Bolivar,TN,1,0,35.2645,-89.0118
Bolivia,NC,0,1,34.0699,-78.1472
Bon Air,AL,0,1,33.2621,-86.3319
Bon Air,VA,0,1,37.5187,-77.5713
Bonham,TX,1,0,33.588,-96.1901
Boone,IA,1,0,42.0531,-93.877
Boone,NC,6,8,36.2111,-81.6669
Booneville,AR,0,1,35.1392,-93.9178
Booneville,MS,1,0,34.6643,-88.5684
Boonsboro,MD,0,2,39.5078,-77.6585
Boonville,NC,8,2,36.234,-80.7093
Boothwyn,PA,0,4,39.8357,-75.4454
Borden,IN,1,0,38.4699,-85.9491
Bossier City,LA,0,2,32.5224,-93.6668
Boston,MA,30,21,42.3188,-71.0852
Boston,VA,0,1,37.6039,-75.8437
Botkins,OH,0,2,40.4587,-84.1782
Bound Brook,NJ,3,6,40.5676,-74.5383
Bourbon,IN,3,2,41.2993,-86.1167
Bourbon,MO,1,0,38.1505,-91.2494
Bourbonnais,IL,2,2,41.183,-87.8784
Bowerston,OH,3,0,40.4273,-81.1874
Bowersville,GA,4,1,34.373,-83.0838
Bowie,MD,0,1,38.9549,-76.7406
Bowie,TX,0,1,33.5566,-97.844
Bowling Green,FL,1,0,27.638,-81.8244
Bowling Green,KY,136,114,36.9716,-86.4378
Bowling Green,OH,6,11,41.3776,-83.6495
Bowman,SC,0,3,33.3483,-80.6843
Boydton,VA,1,5,36.666,-78.3908
Boyertown,PA,8,4,40.3322,-75.6375
Boynton Beach,FL,1,5,26.5281,-80.0811
Braddock,PA,1,0,40.4018,-79.8689
Bradenton,FL,3,9,27.4901,-82.5757
Bradford,PA,16,23,41.9605,-78.6412
Bradley,IL,2,0,41.1641,-87.8452
Bradley,SC,0,1,34.0391,-82.2435
Brainerd,MN,0,1,46.3553,-94.1983
Brandenburg,KY,13,2,37.9956,-86.1773
Brandon,MS,0,1,32.2778,-89.9896
Brandywine,MD,2,2,38.6963,-76.8846
Branford,FL,4,0,29.9623,-82.9243
Branson,MO,1,0,36.6509,-93.2636
Braselton,GA,5,8,34.1087,-83.8127
Bratenahl,OH,2,1,41.5538,-81.6055
Breaux Bridge,LA,1,0,30.2829,-91.9043
Brecksville,OH,3,20,41.3079,-81.6192
Breese,IL,1,1,38.6138,-89.523
Breinigsville,PA,222,260,40.5394,-75.6347
Bremen,GA,0,1,33.7085,-85.1495
Bremen,IN,9,5,41.4484,-86.1505
Brentwood,MD,0,2,38.9439,-76.9571
Brentwood,MO,0,1,38.6194,-90.3475
Brentwood,TN,0,3,35.9918,-86.7758
Brevard,NC,10,8,35.2438,-82.7265
Brewer,ME,0,1,44.7835,-68.7352
Brewster,NY,3,11,41.397,-73.6151
Brewton,AL,1,0,31.1113,-87.0737
Bridgeport,AL,3,5,34.9496,-85.7243
Bridgeport,CT,15,12,41.1918,-73.1954
Bridgeport,MI,0,2,43.3706,-83.8827
Bridgeport,NJ,1,6,39.8009,-75.3468
Bridgeport,PA,1,1,40.1042,-75.3437
Bridgeport,WV,1,8,39.3036,-80.2478
Bridgeton,MO,5,6,38.7673,-90.4275
Bridgeview,IL,3,2,41.7403,-87.8067
Bridgeville,DE,3,13,38.7251,-75.6029
Bridgeville,PA,1,1,40.3578,-80.1061
Bridgewater,VA,0,2,38.3862,-78.9674
Bridgman,MI,0,1,41.9396,-86.5652
Brighton,CO,1,0,39.9716,-104.7963
Brighton,MI,1,6,42.5298,-83.7848
Brilliant,OH,0,1,40.2701,-80.6318
Brimfield,IL,0,1,40.8379,-89.8827
Brimfield,OH,1,0,41.0941,-81.3482
Bringhurst,IN,1,0,40.5269,-86.5251
Brinkley,AR,3,2,34.89,-91.1902
Bristol,CT,7,10,41.6812,-72.9407
Bristol,IN,12,32,41.7184,-85.8228
Bristol,TN,17,7,36.5572,-82.2154
Bristol,VA,13,24,36.6181,-82.1604
Bristol,WI,0,2,42.5377,-88.0151
Britt,IA,0,1,43.0986,-93.803
Broadview,IL,0,1,41.8583,-87.8562
Broadview Heights,OH,1,3,41.3196,-81.6779
Broadway,VA,1,0,38.6083,-78.8016
Brockport,NY,3,7,43.2137,-77.9404
Brockton,MA,9,6,42.0821,-71.0242
Brockway,PA,3,1,41.2472,-78.793
Brocton,NY,1,2,42.3898,-79.4428
Brodhead,WI,0,2,42.6168,-89.3756
Brodheadsville,PA,0,1,40.9267,-75.4017
Broken Bow,OK,1,0,34.0292,-94.7426
Bronx,NY,10,17,40.8501,-73.8662
Brook,IN,0,1,40.8664,-87.3653
